source,night,receiver,lag_hours,n,correct,wrong_identity,refused,accuracy_pct,wrong_pct,refused_pct,precision_pct
decay_study,4,d0wd,0,143,140,0,3,97.9,0.0,2.1,100.0
decay_study,4,d0wd,1,547,335,0,212,61.2,0.0,38.8,100.0
decay_study,4,d0wd,2,544,311,5,228,57.2,0.9,41.9,98.4
decay_study,4,d0wd,3,561,307,0,254,54.7,0.0,45.3,100.0
decay_study,4,d0wd,4,349,112,0,237,32.1,0.0,67.9,100.0
decay_study,4,d0wd,5,484,20,12,452,4.1,2.5,93.4,62.5
decay_study,5,d0wd,0,257,236,19,2,91.8,7.4,0.8,92.5
decay_study,5,d0wd,1,638,349,260,29,54.7,40.8,4.5,57.3
decay_study,5,d0wd,2,635,362,245,28,57.0,38.6,4.4,59.6
decay_study,5,d0wd,3,639,410,198,31,64.2,31.0,4.9,67.4
decay_study,5,d0wd,4,638,390,197,51,61.1,30.9,8.0,66.4
decay_study,5,d0wd,5,639,388,239,12,60.7,37.4,1.9,61.9
decay_study,7,d0wd,0,265,259,3,3,97.7,1.1,1.1,98.9
decay_study,7,d0wd,1,619,483,24,112,78.0,3.9,18.1,95.3
decay_study,7,d0wd,2,600,468,22,110,78.0,3.7,18.3,95.5
decay_study,7,d0wd,3,601,454,47,100,75.5,7.8,16.6,90.6
decay_study,7,d0wd,4,610,454,38,118,74.4,6.2,19.3,92.3
decay_study,7,d0wd,5,586,489,13,84,83.4,2.2,14.3,97.4
decay_study,4,s3,0,465,458,0,7,98.5,0.0,1.5,100.0
decay_study,4,s3,1,1147,1043,0,104,90.9,0.0,9.1,100.0
decay_study,4,s3,2,1156,820,0,336,70.9,0.0,29.1,100.0
decay_study,4,s3,3,1125,860,0,265,76.4,0.0,23.6,100.0
decay_study,4,s3,4,1095,790,0,305,72.1,0.0,27.9,100.0
decay_study,4,s3,5,1044,678,1,365,64.9,0.1,35.0,99.9
decay_study,5,s3,0,424,404,14,6,95.3,3.3,1.4,96.7
decay_study,5,s3,1,1028,622,324,82,60.5,31.5,8.0,65.8
decay_study,5,s3,2,991,520,349,122,52.5,35.2,12.3,59.8
decay_study,5,s3,3,975,488,341,146,50.1,35.0,15.0,58.9
decay_study,5,s3,4,992,482,339,171,48.6,34.2,17.2,58.7
decay_study,5,s3,5,986,458,378,150,46.5,38.3,15.2,54.8
decay_study,7,s3,0,465,452,0,13,97.2,0.0,2.8,100.0
decay_study,7,s3,1,890,374,5,511,42.0,0.6,57.4,98.7
decay_study,7,s3,2,1063,374,0,689,35.2,0.0,64.8,100.0
decay_study,7,s3,3,1038,382,0,656,36.8,0.0,63.2,100.0
decay_study,7,s3,4,1063,336,0,727,31.6,0.0,68.4,100.0
decay_study,7,s3,5,1059,302,0,757,28.5,0.0,71.5,100.0
night8,7,d0wd,0,265,259,3,3,97.7,1.1,1.1,98.9
night8,7,d0wd,1,619,483,24,112,78.0,3.9,18.1,95.3
night8,7,d0wd,2,600,468,22,110,78.0,3.7,18.3,95.5
night8,7,d0wd,3,601,454,47,100,75.5,7.8,16.6,90.6
night8,7,d0wd,4,610,454,38,118,74.4,6.2,19.3,92.3
night8,7,d0wd,5,586,489,13,84,83.4,2.2,14.3,97.4
night8,8,d0wd,0,260,259,1,0,99.6,0.4,0.0,99.6
night8,8,d0wd,1,651,383,18,250,58.8,2.8,38.4,95.5
night8,8,d0wd,2,651,389,17,245,59.8,2.6,37.6,95.8
night8,8,d0wd,3,647,374,1,272,57.8,0.2,42.0,99.7
night8,8,d0wd,4,648,316,7,325,48.8,1.1,50.2,97.8
night8,8,d0wd,5,653,401,5,247,61.4,0.8,37.8,98.8
night8,7,s3,0,465,452,0,13,97.2,0.0,2.8,100.0
night8,7,s3,1,890,374,5,511,42.0,0.6,57.4,98.7
night8,7,s3,2,1063,374,0,689,35.2,0.0,64.8,100.0
night8,7,s3,3,1038,382,0,656,36.8,0.0,63.2,100.0
night8,7,s3,4,1063,336,0,727,31.6,0.0,68.4,100.0
night8,7,s3,5,1059,302,0,757,28.5,0.0,71.5,100.0
night8,8,s3,0,383,313,62,8,81.7,16.2,2.1,83.5
night8,8,s3,1,969,682,277,10,70.4,28.6,1.0,71.1
night8,8,s3,2,959,768,180,11,80.1,18.8,1.1,81.0
night8,8,s3,3,912,791,99,22,86.7,10.9,2.4,88.9
night8,8,s3,4,928,797,35,96,85.9,3.8,10.3,95.8
night8,8,s3,5,943,607,118,218,64.4,12.5,23.1,83.7
