source,receiver,beacon,step,delta_sfo,sigma_between_unit_sd
scored_window,s3,B1,1->2,0.016729,7.06
scored_window,s3,B1,4->5,0.000765,0.32
scored_window,s3,B1,5->6,0.001747,0.74
scored_window,s3,B1,6->7,0.003687,1.56
scored_window,s3,B2,1->2,0.013246,5.59
scored_window,s3,B2,2->3,0.013620,5.75
scored_window,s3,B2,3->4,0.000892,0.38
scored_window,s3,B2,4->5,0.004431,1.87
scored_window,s3,B2,5->6,0.000393,0.17
scored_window,s3,B2,6->7,0.000658,0.28
scored_window,s3,B3,1->2,0.000636,0.27
scored_window,s3,B3,2->3,0.001467,0.62
scored_window,s3,B3,3->4,0.000073,0.03
scored_window,s3,B3,4->5,0.015012,6.33
scored_window,s3,B3,5->6,0.016585,7.00
scored_window,s3,B3,6->7,0.001982,0.84
scored_window,d0wd,B1,1->2,0.023599,9.96
scored_window,d0wd,B1,4->5,0.055934,23.60
scored_window,d0wd,B1,5->6,0.003662,1.55
scored_window,d0wd,B1,6->7,0.004481,1.89
scored_window,d0wd,B2,1->2,0.005667,2.39
scored_window,d0wd,B2,2->3,0.001969,0.83
scored_window,d0wd,B2,3->4,0.002081,0.88
scored_window,d0wd,B2,4->5,0.008273,3.49
scored_window,d0wd,B2,5->6,0.008260,3.49
scored_window,d0wd,B2,6->7,0.000778,0.33
scored_window,d0wd,B3,1->2,0.072110,30.43
scored_window,d0wd,B3,2->3,0.062010,26.16
scored_window,d0wd,B3,3->4,0.027258,11.50
scored_window,d0wd,B3,4->5,0.035948,15.17
scored_window,d0wd,B3,5->6,0.019442,8.20
scored_window,d0wd,B3,6->7,0.021929,9.25
heldout_window,s3,B1,1->2,0.015871,6.70
heldout_window,s3,B1,4->5,0.000768,0.32
heldout_window,s3,B1,5->6,0.001870,0.79
heldout_window,s3,B1,6->7,0.013539,5.71
heldout_window,s3,B2,1->2,0.013165,5.56
heldout_window,s3,B2,2->3,0.013210,5.57
heldout_window,s3,B2,3->4,0.000849,0.36
heldout_window,s3,B2,4->5,0.004339,1.83
heldout_window,s3,B2,5->6,0.001008,0.43
heldout_window,s3,B2,6->7,0.000341,0.14
heldout_window,s3,B3,1->2,0.001273,0.54
heldout_window,s3,B3,2->3,0.001897,0.80
heldout_window,s3,B3,3->4,0.000184,0.08
heldout_window,s3,B3,4->5,0.014191,5.99
heldout_window,s3,B3,5->6,0.016587,7.00
heldout_window,s3,B3,6->7,0.001329,0.56
heldout_window,d0wd,B1,1->2,0.023737,10.02
heldout_window,d0wd,B1,4->5,0.056584,23.88
heldout_window,d0wd,B1,5->6,0.003620,1.53
heldout_window,d0wd,B1,6->7,0.029186,12.31
heldout_window,d0wd,B2,1->2,0.005571,2.35
heldout_window,d0wd,B2,2->3,0.001630,0.69
heldout_window,d0wd,B2,3->4,0.002551,1.08
heldout_window,d0wd,B2,4->5,0.008272,3.49
heldout_window,d0wd,B2,5->6,0.008180,3.45
heldout_window,d0wd,B2,6->7,0.001391,0.59
heldout_window,d0wd,B3,1->2,0.071975,30.37
heldout_window,d0wd,B3,2->3,0.060985,25.73
heldout_window,d0wd,B3,3->4,0.024364,10.28
heldout_window,d0wd,B3,4->5,0.032299,13.63
heldout_window,d0wd,B3,5->6,0.017726,7.48
heldout_window,d0wd,B3,6->7,0.022073,9.31
