source,night,receiver,pair,delta_sfo,sigma_between_unit_sd,sigma_pooled_2d_mahalanobis
heldout_window,1,d0wd,B1-B2,0.023683,9.99,28.94
heldout_window,1,d0wd,B2-B3,0.006398,2.70,7.91
heldout_window,1,d0wd,B1-B3,0.017285,7.29,21.04
heldout_window,1,s3,B1-B2,0.019267,8.13,19.25
heldout_window,1,s3,B2-B3,0.009871,4.16,9.89
heldout_window,1,s3,B1-B3,0.009396,3.96,9.36
heldout_window,2,d0wd,B1-B2,0.005625,2.37,5.88
heldout_window,2,d0wd,B2-B3,0.072802,30.72,75.68
heldout_window,2,d0wd,B1-B3,0.078427,33.09,81.56
heldout_window,2,s3,B1-B2,0.009769,4.12,14.22
heldout_window,2,s3,B2-B3,0.004567,1.93,6.65
heldout_window,2,s3,B1-B3,0.005202,2.19,7.58
heldout_window,3,d0wd,B2-B3,0.013447,5.67,15.22
heldout_window,3,s3,B2-B3,0.006745,2.85,12.75
heldout_window,4,d0wd,B1-B2,0.057990,24.47,37.09
heldout_window,4,d0wd,B2-B3,0.040361,17.03,25.71
heldout_window,4,d0wd,B1-B3,0.017629,7.44,11.38
heldout_window,4,s3,B1-B2,0.006182,2.61,10.28
heldout_window,4,s3,B2-B3,0.005712,2.41,9.29
heldout_window,4,s3,B1-B3,0.011894,5.02,19.57
heldout_window,5,d0wd,B1-B2,0.006866,2.90,8.14
heldout_window,5,d0wd,B2-B3,0.000209,0.09,0.25
heldout_window,5,d0wd,B1-B3,0.006657,2.81,7.88
heldout_window,5,s3,B1-B2,0.001075,0.45,1.68
heldout_window,5,s3,B2-B3,0.004140,1.75,6.37
heldout_window,5,s3,B1-B3,0.003065,1.29,4.69
heldout_window,6,d0wd,B1-B2,0.004934,2.08,9.40
heldout_window,6,d0wd,B2-B3,0.025697,10.84,48.99
heldout_window,6,d0wd,B1-B3,0.020763,8.76,39.58
heldout_window,6,s3,B1-B2,0.001937,0.82,4.20
heldout_window,6,s3,B2-B3,0.013455,5.68,29.00
heldout_window,6,s3,B1-B3,0.015392,6.49,33.20
heldout_window,7,d0wd,B1-B2,0.032729,13.81,38.77
heldout_window,7,d0wd,B2-B3,0.002233,0.94,2.66
heldout_window,7,d0wd,B1-B3,0.030496,12.87,36.11
heldout_window,7,s3,B1-B2,0.011942,5.04,21.97
heldout_window,7,s3,B2-B3,0.015125,6.38,27.83
heldout_window,7,s3,B1-B3,0.003182,1.34,5.86
night8_enrolment,8,d0wd,B1-B2,0.003380,1.43,2.99
night8_enrolment,8,d0wd,B2-B3,0.026954,11.37,24.24
night8_enrolment,8,d0wd,B1-B3,0.030333,12.80,27.23
night8_enrolment,8,s3,B1-B2,0.011926,5.03,8.00
night8_enrolment,8,s3,B2-B3,0.000815,0.34,0.54
night8_enrolment,8,s3,B1-B3,0.011111,4.69,7.48
scored_window,1,d0wd,B1-B2,0.023951,10.11,28.02
scored_window,1,d0wd,B2-B3,0.006428,2.71,7.57
scored_window,1,d0wd,B1-B3,0.017523,7.39,20.44
scored_window,1,s3,B1-B2,0.020298,8.56,25.12
scored_window,1,s3,B2-B3,0.008123,3.43,9.86
scored_window,1,s3,B1-B3,0.012175,5.14,15.26
scored_window,2,d0wd,B1-B2,0.005316,2.24,3.97
scored_window,2,d0wd,B2-B3,0.072870,30.75,55.72
scored_window,2,d0wd,B1-B3,0.078186,32.99,59.68
scored_window,2,s3,B1-B2,0.009678,4.08,4.11
scored_window,2,s3,B2-B3,0.004487,1.89,1.61
scored_window,2,s3,B1-B3,0.005191,2.19,2.50
scored_window,3,d0wd,B2-B3,0.012829,5.41,18.72
scored_window,3,s3,B2-B3,0.007667,3.24,15.05
scored_window,4,d0wd,B1-B2,0.057312,24.18,23.04
scored_window,4,d0wd,B2-B3,0.042168,17.79,17.08
scored_window,4,d0wd,B1-B3,0.015144,6.39,5.97
scored_window,4,s3,B1-B2,0.005791,2.44,9.29
scored_window,4,s3,B2-B3,0.006702,2.83,10.50
scored_window,4,s3,B1-B3,0.012493,5.27,19.79
scored_window,5,d0wd,B1-B2,0.006895,2.91,5.40
scored_window,5,d0wd,B2-B3,0.002053,0.87,1.58
scored_window,5,d0wd,B1-B3,0.004842,2.04,3.82
scored_window,5,s3,B1-B2,0.000594,0.25,0.81
scored_window,5,s3,B2-B3,0.003879,1.64,4.97
scored_window,5,s3,B1-B3,0.003284,1.39,4.16
scored_window,6,d0wd,B1-B2,0.005027,2.12,8.56
scored_window,6,d0wd,B2-B3,0.025649,10.82,43.83
scored_window,6,d0wd,B1-B3,0.020622,8.70,35.27
scored_window,6,s3,B1-B2,0.001948,0.82,3.99
scored_window,6,s3,B2-B3,0.013100,5.53,26.45
scored_window,6,s3,B1-B3,0.015048,6.35,30.44
scored_window,7,d0wd,B1-B2,0.008730,3.68,4.27
scored_window,7,d0wd,B2-B3,0.002942,1.24,0.84
scored_window,7,d0wd,B1-B3,0.005788,2.44,3.43
scored_window,7,s3,B1-B2,0.002397,1.01,2.75
scored_window,7,s3,B2-B3,0.015740,6.64,9.38
scored_window,7,s3,B1-B3,0.013343,5.63,6.63
