source,night,stamp,receiver,beacon,mac,window,n_windows,sfo_median,sfo_iqr,sfo_sd,cfo_median,cfo_iqr,cfo_sd
heldout_window,1,20260829_025355,d0wd,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),1174,0.024639,0.001814,0.001349,-0.0904,3.6153,2.6922
heldout_window,1,20260829_025355,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1268,0.000956,0.000657,0.000475,-0.1054,3.7714,2.9927
heldout_window,1,20260829_025355,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1505,0.007354,0.000471,0.000340,-0.0745,4.5565,3.4223
heldout_window,1,20260829_025355,s3,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),1869,0.030876,0.002184,0.001385,-0.0736,5.4172,4.1424
heldout_window,1,20260829_025355,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2457,0.011608,0.000847,0.000583,-0.5957,7.7945,5.9621
heldout_window,1,20260829_025355,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2385,0.021479,0.001525,0.000963,-0.3585,6.9989,5.2624
heldout_window,2,20260830_013943,d0wd,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),1228,0.000902,0.001132,0.000841,0.0582,3.6971,2.7250
heldout_window,2,20260830_013943,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1360,0.006527,0.001049,0.000774,0.4276,4.2451,3.1660
heldout_window,2,20260830_013943,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),341,0.079329,0.002448,0.001731,-0.0646,3.8620,2.8389
heldout_window,2,20260830_013943,s3,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),2428,0.015005,0.000739,0.000545,-0.0621,7.3945,5.3621
heldout_window,2,20260830_013943,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2014,0.024774,0.001369,0.000997,-0.1771,6.4908,4.7858
heldout_window,2,20260830_013943,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2477,0.020207,0.000614,0.000463,-0.2510,7.6074,5.5744
heldout_window,3,20260831_020408,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1782,0.004898,0.000750,0.000886,0.1887,5.9097,4.5708
heldout_window,3,20260831_020408,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1952,0.018344,0.001124,0.000885,0.3681,6.3012,4.5249
heldout_window,3,20260831_020408,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2467,0.011564,0.000684,0.000566,0.2868,8.9351,6.9301
heldout_window,3,20260831_020408,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2525,0.018309,0.000717,0.000502,0.0450,8.1490,5.7966
heldout_window,4,20260901_035805,d0wd,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),489,0.060337,0.002928,0.002368,0.0694,2.9251,2.2073
heldout_window,4,20260901_035805,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1379,0.002347,0.000948,0.000736,0.0706,4.4763,3.3410
heldout_window,4,20260901_035805,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1380,0.042708,0.002323,0.001805,-0.1795,4.3300,3.3394
heldout_window,4,20260901_035805,s3,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),2369,0.006231,0.000595,0.000450,0.3160,7.0847,5.3042
heldout_window,4,20260901_035805,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2237,0.012413,0.000790,0.000731,0.3345,6.9363,5.3490
heldout_window,4,20260901_035805,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2354,0.018125,0.000728,0.000610,0.4620,7.1206,5.2619
heldout_window,5,20260902_000949,d0wd,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),1307,0.003753,0.000797,0.000641,0.1089,3.8301,2.8871
heldout_window,5,20260902_000949,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1198,0.010619,0.001438,0.001021,0.0237,3.7439,2.7999
heldout_window,5,20260902_000949,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1328,0.010410,0.001054,0.000850,0.1111,4.0165,3.0101
heldout_window,5,20260902_000949,s3,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),2092,0.006999,0.000926,0.000692,0.1188,6.2823,4.6236
heldout_window,5,20260902_000949,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2189,0.008074,0.000786,0.000577,-0.5426,7.2777,5.4424
heldout_window,5,20260902_000949,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1894,0.003934,0.000910,0.000677,0.3230,5.8708,4.3441
heldout_window,6,20260903_013851,d0wd,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),1343,0.007373,0.000525,0.000402,0.1256,4.2239,3.0982
heldout_window,6,20260903_013851,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1340,0.002439,0.000617,0.000457,0.0617,4.3536,3.1580
heldout_window,6,20260903_013851,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1259,0.028136,0.000928,0.000683,0.1619,3.7781,2.8848
heldout_window,6,20260903_013851,s3,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),2244,0.005129,0.000699,0.000517,0.0234,6.4399,4.8463
heldout_window,6,20260903_013851,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2419,0.007066,0.000447,0.000337,-0.5717,7.6053,5.6393
heldout_window,6,20260903_013851,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2476,0.020521,0.000682,0.000517,-0.1858,7.6183,5.6713
heldout_window,7,20260904_010024,d0wd,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),566,0.036560,0.002401,0.001870,0.1807,2.5765,1.9545
heldout_window,7,20260904_010024,d0wd,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),1304,0.003830,0.000815,0.000589,0.0121,4.1504,3.0801
heldout_window,7,20260904_010024,d0wd,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),1762,0.006063,0.000398,0.000300,-0.1348,5.8866,4.2910
heldout_window,7,20260904_010024,s3,B1,a4:f0:0f:77:91:20,T0+5000..6800 (T0+8120..9920 on night 2),1522,0.018668,0.000864,0.000666,0.0040,5.8326,4.2405
heldout_window,7,20260904_010024,s3,B2,28:05:a5:2f:fa:48,T0+5000..6800 (T0+8120..9920 on night 2),2380,0.006725,0.000417,0.000319,-1.1083,8.0258,5.9720
heldout_window,7,20260904_010024,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2397,0.021850,0.000845,0.000627,0.6081,7.9195,5.9097
night8_block_T0+11400,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+11400..11700,226,0.006233,0.000746,0.000546,0.1856,4.1721,2.9256
night8_block_T0+11400,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+11400..11700,203,0.010659,0.001086,0.000876,0.2501,3.5001,2.7186
night8_block_T0+11400,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+11400..11700,218,0.028917,0.002002,0.001469,0.6221,3.4897,2.9081
night8_block_T0+11400,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+11400..11700,182,0.021689,0.002360,0.003185,0.3254,5.9457,4.3197
night8_block_T0+11400,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+11400..11700,358,0.009772,0.000624,0.000480,-0.3554,6.8860,4.8161
night8_block_T0+11400,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+11400..11700,372,0.011029,0.000633,0.000462,-1.6400,7.2275,4.9818
night8_block_T0+13200,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+13200..13500,215,0.006457,0.001021,0.000680,0.1360,3.9079,2.8979
night8_block_T0+13200,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+13200..13500,189,0.009476,0.001097,0.001331,-0.2448,3.7356,2.5112
night8_block_T0+13200,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+13200..13500,247,0.028163,0.002474,0.002371,0.0840,4.4355,3.3572
night8_block_T0+13200,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+13200..13500,215,0.023148,0.016944,0.012345,-0.3614,6.2819,4.1306
night8_block_T0+13200,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+13200..13500,366,0.010577,0.000783,0.000746,-0.0464,6.1444,4.8356
night8_block_T0+13200,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+13200..13500,389,0.011564,0.000766,0.000739,0.9541,6.8004,5.0936
night8_block_T0+15000,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+15000..15300,225,0.006353,0.000845,0.000609,0.5543,4.0922,2.9471
night8_block_T0+15000,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+15000..15300,198,0.011128,0.001138,0.000944,0.2767,3.7097,2.8461
night8_block_T0+15000,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+15000..15300,225,0.026417,0.002765,0.001791,0.0591,4.3958,3.3964
night8_block_T0+15000,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+15000..15300,195,0.021299,0.003061,0.006892,-0.1498,5.5123,4.4494
night8_block_T0+15000,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+15000..15300,357,0.009759,0.000751,0.000577,-0.5902,6.4997,4.8015
