night,receiver,beacon,t1_s,t2_s,lag_hours,delta_sfo,sigma_between_unit_sd
1,d0wd,B1,600,3000,0.667,0.001076,0.45
1,d0wd,B1,600,5400,1.333,0.000967,0.41
1,d0wd,B1,600,7800,2.000,0.001606,0.68
1,d0wd,B1,600,10200,2.667,0.000996,0.42
1,d0wd,B1,600,12600,3.333,0.000026,0.01
1,d0wd,B1,600,15000,4.000,0.002261,0.95
1,d0wd,B1,600,17400,4.667,0.000964,0.41
1,d0wd,B1,3000,5400,0.667,0.000109,0.05
1,d0wd,B1,3000,7800,1.333,0.002682,1.13
1,d0wd,B1,3000,10200,2.000,0.002073,0.87
1,d0wd,B1,3000,12600,2.667,0.001102,0.47
1,d0wd,B1,3000,15000,3.333,0.003338,1.41
1,d0wd,B1,3000,17400,4.000,0.002040,0.86
1,d0wd,B1,5400,7800,0.667,0.002573,1.09
1,d0wd,B1,5400,10200,1.333,0.001964,0.83
1,d0wd,B1,5400,12600,2.000,0.000993,0.42
1,d0wd,B1,5400,15000,2.667,0.003229,1.36
1,d0wd,B1,5400,17400,3.333,0.001931,0.81
1,d0wd,B1,7800,10200,0.667,0.000609,0.26
1,d0wd,B1,7800,12600,1.333,0.001579,0.67
1,d0wd,B1,7800,15000,2.000,0.000656,0.28
1,d0wd,B1,7800,17400,2.667,0.000642,0.27
1,d0wd,B1,10200,12600,0.667,0.000970,0.41
1,d0wd,B1,10200,15000,1.333,0.001265,0.53
1,d0wd,B1,10200,17400,2.000,0.000033,0.01
1,d0wd,B1,12600,15000,0.667,0.002235,0.94
1,d0wd,B1,12600,17400,1.333,0.000938,0.40
1,d0wd,B1,15000,17400,0.667,0.001298,0.55
1,d0wd,B2,600,3000,0.667,0.000335,0.14
1,d0wd,B2,600,5400,1.333,0.000105,0.04
1,d0wd,B2,600,7800,2.000,0.000095,0.04
1,d0wd,B2,600,10200,2.667,0.000665,0.28
1,d0wd,B2,600,12600,3.333,0.000647,0.27
1,d0wd,B2,600,15000,4.000,0.000608,0.26
1,d0wd,B2,600,17400,4.667,0.000361,0.15
1,d0wd,B2,3000,5400,0.667,0.000230,0.10
1,d0wd,B2,3000,7800,1.333,0.000240,0.10
1,d0wd,B2,3000,10200,2.000,0.000329,0.14
1,d0wd,B2,3000,12600,2.667,0.000312,0.13
